Id,SalePrice
2658,143074.421875
2718,174505.09375
2414,216920.34375
1989,114357.390625
625,180073.65625
333,133015.609375
1327,108122.03125
858,147603.796875
95,225362.96875
1568,178576.578125
2482,175369.875
1364,127292.921875
2584,154161.84375
818,293517.0
2673,140751.109375
2089,131127.265625
1297,200876.265625
790,110663.015625
2616,217527.765625
720,183834.375
222,148666.859375
557,118779.453125
1148,201766.734375
2766,203041.875
534,182539.734375
1452,119278.03125
630,141373.015625
2648,134901.59375
125,146480.859375
1904,60174.296875
1670,108356.59375
756,113613.34375
717,229456.25
1032,175674.953125
852,204566.421875
1731,189593.234375
2639,127996.671875
2071,89963.234375
1267,140879.59375
1851,195101.21875
567,207458.75
2439,210965.640625
1898,154520.125
647,164807.453125
2256,223818.21875
979,143496.46875
1444,228153.03125
2485,138482.53125
157,125550.578125
88,121951.828125
2003,114500.625
186,228232.59375
1425,240653.5625
2695,138465.515625
738,117123.9375
395,152161.40625
1353,171665.515625
1878,140175.546875
390,171664.703125
1456,240897.296875
1103,324448.59375
1387,129769.765625
2070,585830590031931.5
1199,179119.046875
2479,202491.265625
501,310417.5625
2362,105286.484375
1718,242324.140625
2188,87518.59375
1483,176597.859375
2557,106932.96875
437,358294.09375
2224,205344.75
1628,192804.5625
397,137191.6875
587,187036.21875
971,151583.28125
2611,153953.84375
1887,98840.875
2399,392516.109375
2148,202333.4375
304,115604.015625
1997,144227.0625
2817,108124.0625
1431,217991.734375
427,347769.1875
263,130127.59375
598,180445.78125
2895,231893.265625
687,136328.90625
1822,142136.734375
2191,104504.96875
179,122960.015625
1009,286215.953125
2010,151198.328125
1991,135522.8125
1411,151464.796875
1721,269909.625
1144,205381.65625
593,234937.0625
575,319199.8125
1249,184613.734375
1604,131231.3125
1064,451380.40625
1923,151458.09375
1988,110107.46875
2325,192732.75
114,202956.25
2700,162590.328125
217,145976.625
343,182368.578125
386,238764.25
2005,118980.734375
2908,135709.5
1814,238375.578125
2446,448341.5
208,144303.890625
1679,166965.328125
822,345365.984375
6,200248.8125
1781,382168.640625
2397,331229.546875
2340,364423.65625
1618,170188.984375
2843,134543.53125
1061,393611.625
2786,128379.71875
1935,136727.140625
1341,116657.484375
521,292040.375
2136,157669.5
996,206624.921875
227,175363.84375
135,166048.875
1167,208622.84375
294,235838.9375
1776,196316.609375
540,160514.359375
1717,247242.484375
2303,125751.265625
116,185550.796875
127,129108.15625
1371,133570.578125
1014,119394.34375
1507,102189.703125
702,141258.3125
750,149030.9375
261,159605.578125
1559,67092.265625
577,209856.09375
2812,208070.46875
2080,155743.125
1368,81068.484375
2376,129459.609375
659,103166.3125
1235,131000.234375
332,123948.390625
1917,140764.75
2094,237311.75
1460,263892.734375
1471,206526.34375
1509,126139.75
1922,128993.515625
433,478231.03125
460,346916.59375
1116,247649.5625
1137,156630.140625
53,198460.640625
2354,276657.28125
1475,195013.171875
1761,505240.6875
842,159011.3125
2739,157635.296875
2509,204585.140625
1007,214131.125
2610,173958.765625
1952,104663.359375
2719,182677.640625
2921,130710.765625
1966,142292.59375
292,120918.859375
1204,197300.640625
1829,249225.5625
2419,199611.359375
391,161263.953125
798,110370.265625
481,208984.796875
193,177155.75
555,126830.5625
899,82804.671875
2357,188413.921875
328,165009.828125
1356,115376.625
1154,107624.578125
1730,198919.09375
2249,156543.53125
1119,284737.65625
2856,142072.609375
1394,137002.328125
2587,121883.140625
61,315361.96875
2661,172211.53125
2711,130717.953125
1147,192233.78125
757,102639.609375
2623,106012.09375
2378,193757.09375
1413,144664.171875
1722,258964.09375
1112,223780.09375
1623,203860.09375
1201,205290.984375
1513,123288.546875
957,240902.875
1171,325706.0
1145,209252.53125
2726,241230.546875
703,169729.734375
760,80645.0625
1964,139229.890625
2512,220726.828125
159,142143.75
1281,183137.40625
468,196908.84375
290,124410.3125
665,92679.078125
1463,259252.421875
1792,238824.546875
923,174643.84375
500,296948.484375
1408,161836.46875
331,104369.5
170,124434.859375
2192,102451.578125
2571,284514.890625
2314,188951.84375
2647,81423.359375
422,474161.953125
2457,321415.984375
1838,222085.578125
2805,253058.578125
1645,149700.609375
1711,333842.140625
2825,233934.671875
322,351112.25
2103,251670.78125
342,119737.578125
600,132500.078125
488,194723.453125
1725,371216.4375
2246,298997.40625
2847,156933.984375
806,256177.890625
530,246361.015625
963,195079.90625
2678,111694.40625
171,76166.5625
2401,454599.3125
805,230738.109375
2259,237369.59375
1748,196033.9375
1361,133966.3125
1677,159986.828125
1406,150732.953125
2322,241334.25
688,170142.234375
143,145592.78125
804,224017.359375
1214,148327.03125
2828,159357.46875
1999,189515.046875
2467,226152.109375
2665,151645.234375
1538,342188.421875
398,123595.640625
2822,141018.640625
2157,168515.75
1856,188574.78125
1269,114637.09375
2570,124595.125
2320,254041.171875
1517,136278.6875
2304,137119.96875
1312,101062.734375
2012,149516.65625
506,264319.484375
2865,218046.375
2367,151957.46875
554,115677.75
238,119746.625
1954,105692.375
2488,150585.296875
2291,124361.375
1969,90180.796875
2725,151954.890625
1482,176597.859375
2763,210018.25
503,280771.28125
1584,244496.046875
1531,177410.921875
2210,223376.734375
459,384631.359375
556,137899.96875
1347,138805.6875
1290,83520.328125
1388,110292.375
1571,220700.015625
2754,202052.09375
765,141311.5625
2494,132724.53125
2870,239146.15625
7,274824.984375
1114,241840.203125
2418,277913.15625
291,170309.296875
18,400869.203125
39,414972.75
1001,291204.1875
2442,236274.109375
616,121665.9375
2680,83652.25
1414,109961.421875
289,148279.203125
40,276051.0
860,147359.078125
409,172633.421875
673,149520.71875
2427,205698.1875
2036,207712.21875
2564,153134.796875
642,178183.28125
1008,193778.09375
1908,160639.46875
2519,243669.453125
1369,86151.59375
2855,184302.734375
712,91689.859375
1943,114837.828125
1958,126158.890625
107,205767.125
2295,186477.40625
704,97566.40625
676,141270.3125
259,201474.953125
93,321819.03125
106,264612.78125
2315,191048.359375
1050,116187.0
1095,209796.453125
2709,150759.734375
758,114028.984375
1496,161528.375
2370,161951.78125
2458,253646.734375
2733,152949.140625
161,278815.65625
726,154574.6875
845,199935.171875
947,267105.078125
2232,115775.25
2563,151337.8125
2299,140544.171875
211,2.503546939893621e+17
605,158183.296875
1478,205852.96875
2247,293079.125
2274,206481.734375
2869,210361.21875
967,223263.171875
2656,119114.125
667,213337.515625
1042,157280.609375
2023,163155.796875
2447,421231.515625
2055,122870.109375
2275,272133.625
2204,181751.75
1563,286550.25
483,245805.5
796,141989.625
1526,166524.328125
2042,121176.546875
442,386268.578125
1693,347346.078125
1468,234788.328125
1430,191455.40625
2605,169519.3125
1529,225319.125
335,132519.484375
1287,123956.5625
31,150136.796875
1785,298853.46875
82,178318.9375
2620,131674.5
252,188708.59375
721,65319.234375
2165,197718.125
2316,202062.40625
775,134835.1875
1558,106646.59375
17,210950.21875
1022,215034.546875
925,149488.890625
438,282336.96875
1270,132554.234375
1272,122114.375
215,156086.96875
266,230416.953125
2402,313756.90625
1250,120073.90625
1984,101945.625
1279,164115.5
377,247941.109375
1252,142287.828125
2156,272729.03125
499,345157.578125
1374,132870.421875
2898,258270.3125
401,124594.734375
2721,163493.453125
2078,258269.796875
2589,108991.265625
1946,234309.265625
1334,123376.046875
2781,214724.265625
431,405423.75
576,236672.71875
1474,220231.65625
2254,134220.90625
2155,300033.296875
885,115644.90625
643,129908.484375
1944,130117.84375
480,204325.859375
2845,104792.53125
2387,327961.21875
2407,243468.421875
2527,177108.75
2514,197360.09375
629,147682.765625
80,201118.65625
1876,151960.484375
1546,125104.25
2518,191397.03125
2347,161035.203125
783,247113.546875
1322,52301.125
194,76324.515625
1770,306523.71875
2143,165410.3125
1229,211365.546875
511,276132.765625
46,256706.421875
1348,156910.71875
2465,224919.421875
387,259603.578125
873,217228.796875
1918,129708.90625
2764,253198.84375
2184,115097.140625
934,186507.53125
1920,133091.4375
2631,180297.984375
1768,520139.25
2040,125051.265625
1749,219691.3125
834,260013.09375
1457,236436.453125
79,128936.96875
2302,123680.0
1817,145815.015625
2755,220172.03125
359,192884.46875
2059,116009.515625
2092,239313.640625
2516,242821.8125
150,117611.46875
1656,170438.921875
83,92381.421875
2411,190305.796875
795,87744.453125
2312,225049.359375
2917,141785.484375
1624,197862.03125
2215,315266.203125
1211,147817.546875
1485,179226.125
1024,182979.390625
570,219816.1875
2874,138538.015625
700,147544.1875
2756,204937.453125
2022,179658.046875
583,245853.0
2392,422325.015625
2424,217083.3125
212,112708.484375
736,134424.453125
1610,191110.390625
890,105837.546875
467,191913.578125
578,281438.84375
1747,186224.046875
1149,177170.71875
2758,244003.875
857,145345.84375
2219,253947.5625
733,107090.796875
2909,154316.875
1798,270956.171875
235,135095.203125
2366,179538.78125
1027,147699.59375
1195,140628.34375
1303,51719.1875
148,192758.453125
608,167649.6875
2515,218996.078125
821,263092.296875
2500,300694.515625
745,112566.34375
741,132703.25
1611,130314.71875
2532,130299.46875
1081,246214.984375
1692,438644.703125
2520,218552.921875
276,127553.9375
1992,127982.25
663,46924.40625
418,152199.5625
1733,222725.890625
2359,156276.984375
253,186771.703125
1518,183508.46875
2035,128599.828125
2919,119230.828125
1540,239921.453125
2120,148945.21875
1674,197777.109375
256,169856.78125
2361,121302.0625
978,113036.71875
2280,148055.609375
2095,228778.15625
1709,332711.59375
2801,239824.0
1246,117241.234375
2373,152541.6875
1055,293714.640625
2017,134459.71875
1099,306671.390625
1344,98784.859375
835,215184.6875
1117,235137.84375
2043,66276.015625
2085,143451.953125
410,197694.375
2650,108022.84375
2867,192013.375
1668,121051.203125
1161,204955.8125
2122,182359.28125
2539,136056.796875
1047,163383.734375
1445,123028.828125
541,125807.875
569,239399.765625
1276,129179.53125
918,159641.109375
326,171232.859375
1936,126866.109375
895,109083.34375
257,159065.109375
1241,169611.171875
1545,113500.21875
1189,176625.734375
270,168915.296875
2066,187955.0625
693,124356.828125
1259,141068.109375
2916,146802.640625
2321,263285.109375
1977,107037.1875
1895,145485.109375
1240,160261.234375
85,142952.0
1823,127647.21875
825,274763.8125
110,231466.5625
697,131794.96875
2297,114436.609375
1231,141395.59375
1355,140378.984375
968,359573.203125
584,235202.4375
1315,125806.15625
1606,151148.328125
206,75959.546875
1685,395373.390625
2016,139594.59375
869,214507.734375
2135,121568.765625
2346,188908.515625
2430,255490.21875
2198,110168.0
2652,117280.828125
27,126765.765625
241,162834.375
906,160561.265625
1506,134306.5
2098,323786.53125
1435,215991.953125
2213,163415.0625
1274,144619.234375
743,35170.296875
1737,192484.1875
2797,283473.046875
2185,96583.296875
58,189259.75
830,197441.828125
808,129479.609375
680,159180.140625
1153,111772.375
1291,136388.046875
1818,184773.8125
2161,205781.1875
1883,122435.703125
350,357506.53125
2473,140289.03125
295,222685.21875
293,173001.1875
859,132561.25
288,68903.28125
1578,178586.859375
102,229708.015625
2831,167132.390625
1030,168053.25
2551,139216.453125
1286,147641.875
958,334212.15625
776,135744.03125
72,234121.296875
2263,261390.28125
1866,169269.484375
2876,73804.875
2146,258303.0
103,219073.328125
1500,151868.3125
492,188237.390625
167,147017.078125
2597,122698.3125
2685,110311.390625
1035,148896.84375
1220,71587.96875
2602,162116.3125
2159,223968.859375
695,157898.625
1109,298003.671875
640,158599.921875
